# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2014-08-06 13:00:02
# //WARNING
# //WARNING The stage-discharge rating provided in this file should be
# //WARNING considered provisional and subject to change. Stage-discharge
# //WARNING ratings change over time as the channel features that control
# //WARNING the relation between stage and discharge vary. Users are
# //WARNING cautioned to consider carefully the applicability of this
# //WARNING rating before using it for decisions that concern personal or
# //WARNING public safety or operational consequences.
# //WARNING
# //FILE TYPE="NWIS RATING" 
# //DATABASE NUMBER=01 DESCRIPTION="Colorado District NWIS-I database (contact tkrizman)"
# //STATION AGENCY="USGS " NUMBER="06730200       " TIME_ZONE="MST" DST_FLAG=Y
# //STATION NAME="BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO"
# //DD NUMBER="   4" LABEL="Discharge FROM DCP (ft3/s)"
# //PARAMETER CODE="00060"
# //RATING SHIFTED="20140806130000 MDT"
# //RATING ID=" 7.0" TYPE="STGQ" NAME="stage-discharge" AGING=A
# //RATING REMARKS="lower extension to cover extreme low flow"
# //RATING EXPANSION="logarithmic"
# //RATING OFFSET1=3.30
# //RATING_INDEP ROUNDING="2223456782" PARAMETER="Gage height (ft)"
# //RATING_DEP ROUNDING="2222233332" PARAMETER="Discharge (ft3/s)"
# //RATING_DATETIME BEGIN=20130905132402 BZONE=MDT END=20131028235959 EZONE=MDT AGING=A
# //RATING_DATETIME BEGIN=20131029000000 BZONE=MDT END=23821230120000 EZONE=MST AGING=W
# //SHIFT_PREV BEGIN="20140805151700" BZONE="MDT" END="--------------" EZONE="---"
# //SHIFT_PREV STAGE1="3.59" SHIFT1="0.00" STAGE2="4.96" SHIFT2="-0.02" STAGE3="6.05" SHIFT3="0.00"
# //SHIFT_PREV COMMENT="Slight fill on recession of July 30, 2014-storm event slightly less negative #298"
# //SHIFT_NEXT BEGIN="--------------" BZONE="---" END="--------------" EZONE="---"
# //SHIFT_NEXT STAGE1="---" SHIFT1="---" STAGE2="---" SHIFT2="---" STAGE3="---" SHIFT3="---"
# //SHIFT_NEXT COMMENT=" "
INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
3.30	0.00	0.00	*
3.31	0.00	0.06	 
3.32	0.00	0.12	 
3.33	0.00	0.18	 
3.34	0.00	0.24	 
3.35	0.00	0.29	 
3.36	0.00	0.35	 
3.37	0.00	0.41	 
3.38	0.00	0.47	 
3.39	0.00	0.53	 
3.40	0.00	0.59	*
3.41	0.00	0.65	 
3.42	0.00	0.71	 
3.43	0.00	0.76	 
3.44	0.00	0.82	 
3.45	0.00	0.88	 
3.46	0.00	0.94	 
3.47	0.00	1.00	 
3.48	0.00	1.1	 
3.49	0.00	1.1	 
3.50	0.00	1.2	*
3.51	0.00	1.2	 
3.52	0.00	1.3	 
3.53	0.00	1.4	 
3.54	0.00	1.4	 
3.55	0.00	1.5	 
3.56	0.00	1.5	 
3.57	0.00	1.6	 
3.58	0.00	1.7	 
3.59	0.00	1.7	 
3.60	0.00	1.8	*
3.61	0.00	1.9	 
3.62	0.00	1.9	 
3.63	0.00	2.0	 
3.64	0.00	2.1	 
3.65	0.00	2.2	 
3.66	0.00	2.3	 
3.67	0.00	2.3	 
3.68	0.00	2.4	 
3.69	0.00	2.5	 
3.70	0.00	2.6	*
3.71	0.00	2.7	 
3.72	0.00	2.7	 
3.73	0.00	2.8	 
3.74	0.00	2.9	 
3.75	0.00	3.0	 
3.76	0.00	3.1	 
3.77	0.00	3.2	 
3.78	0.00	3.3	 
3.79	0.00	3.4	 
3.80	0.00	3.5	*
3.81	0.00	3.6	 
3.82	0.00	3.7	 
3.83	0.00	3.8	 
3.84	0.00	3.9	 
3.85	0.00	4.1	 
3.86	0.00	4.2	 
3.87	0.00	4.3	 
3.88	0.00	4.4	 
3.89	0.00	4.5	 
3.90	0.00	4.7	*
3.91	0.00	4.8	 
3.92	0.00	4.9	 
3.93	0.00	5.1	 
3.94	-0.01	5.1	 
3.95	-0.01	5.2	 
3.96	-0.01	5.3	 
3.97	-0.01	5.5	 
3.98	-0.01	5.6	 
3.99	-0.01	5.8	 
4.00	-0.01	5.9	 
4.01	-0.01	6.0	*
4.02	-0.01	6.2	 
4.03	-0.01	6.4	 
4.04	-0.01	6.6	 
4.05	-0.01	6.8	 
4.06	-0.01	7.0	 
4.07	-0.01	7.2	 
4.08	-0.01	7.4	 
4.09	-0.01	7.6	 
