# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-01-09 17:06:41 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# -----------------------------------------------------------------------------------
#
# Data provided for site 09163500
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09163500	2016-01-01 00:00	MST	3510	P	3.78	P
USGS	09163500	2016-01-01 00:15	MST	3510	P	3.78	P
USGS	09163500	2016-01-01 00:30	MST	3490	P	3.77	P
USGS	09163500	2016-01-01 00:45	MST	3490	P	3.77	P
USGS	09163500	2016-01-01 01:00	MST	3470	P	3.76	P
USGS	09163500	2016-01-01 01:15	MST	3460	P	3.75	P
USGS	09163500	2016-01-01 01:30	MST	3420	P	3.73	P
USGS	09163500	2016-01-01 01:45	MST	3410	P	3.72	P
USGS	09163500	2016-01-01 02:00	MST	3390	P	3.71	P
USGS	09163500	2016-01-01 02:15	MST	3390	P	3.70	P
USGS	09163500	2016-01-01 02:30	MST	3360	P	3.68	P
USGS	09163500	2016-01-01 02:45	MST	3340	P	3.67	P
USGS	09163500	2016-01-01 03:00	MST	3340	P	3.67	P
USGS	09163500	2016-01-01 03:15	MST	3320	P	3.66	P
USGS	09163500	2016-01-01 03:30	MST	3310	P	3.65	P
USGS	09163500	2016-01-01 03:45	MST	3310	P	3.65	P
USGS	09163500	2016-01-01 04:00	MST	3290	P	3.64	P
USGS	09163500	2016-01-01 04:15	MST	3270	P	3.63	P
USGS	09163500	2016-01-01 04:30	MST	3270	P	3.63	P
USGS	09163500	2016-01-01 04:45	MST	3260	P	3.62	P
USGS	09163500	2016-01-01 05:00	MST	3260	P	3.62	P
USGS	09163500	2016-01-01 05:15	MST	3230	P	3.60	P
USGS	09163500	2016-01-01 05:30	MST	3240	P	3.61	P
USGS	09163500	2016-01-01 05:45	MST	3230	P	3.60	P
USGS	09163500	2016-01-01 06:00	MST	3230	P	3.60	P
USGS	09163500	2016-01-01 06:15	MST	3230	P	3.59	P
USGS	09163500	2016-01-01 06:30	MST	3210	P	3.58	P
USGS	09163500	2016-01-01 06:45	MST	3210	P	3.58	P
USGS	09163500	2016-01-01 07:00	MST	3190	P	3.57	P
USGS	09163500	2016-01-01 07:15	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 07:30	MST	3140	P	3.54	P
USGS	09163500	2016-01-01 07:45	MST	3140	P	3.54	P
USGS	09163500	2016-01-01 08:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-01 08:15	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 08:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 08:45	MST	3180	P	3.56	P
